District,year,season,temperature_2m_mean,rain_sum
BHANDARA,2013,Rabi,22.808075,15.550001
BHANDARA,2013,Summer,34.32511,7.4
BHANDARA,2014,Autumn,25.268286,21.600002
BHANDARA,2014,Kharif,28.420286,244.525
BHANDARA,2014,Rabi,22.790276,14.7
BHANDARA,2014,Summer,33.192493,2.0500002
BHANDARA,2015,Autumn,25.953423,4.75
BHANDARA,2015,Kharif,27.420418,296.02502
BHANDARA,2015,Rabi,23.47777,9.975
BHANDARA,2015,Summer,32.073162,43.35
BHANDARA,2016,Autumn,23.40121,27.250002
BHANDARA,2016,Kharif,27.398544,360.25
BHANDARA,2016,Rabi,23.793756,11.650001
BHANDARA,2016,Summer,34.256325,8.2
BHANDARA,2017,Autumn,24.414598,46.2
BHANDARA,2017,Kharif,27.820074,256.45
BHANDARA,2017,Rabi,23.36187,3.4000003
BHANDARA,2017,Summer,34.06172,8.1
BHANDARA,2018,Autumn,24.822334,0.90000004
BHANDARA,2018,Kharif,27.224644,306.1
BHANDARA,2018,Rabi,22.949047,10.7
BHANDARA,2018,Summer,33.551968,14
BHANDARA,2019,Autumn,24.584753,38.1
BHANDARA,2019,Kharif,28.446884,349.025
BHANDARA,2019,Rabi,22.519344,14.8
BHANDARA,2019,Summer,34.327713,2.3
BULDHANA,1997,Autumn,23.334057,95.05
BULDHANA,1997,Kharif,26.225517,157.7
BULDHANA,1997,Rabi,21.956879,19.775
BULDHANA,1997,Summer,30.346786,8.2
BULDHANA,1998,Autumn,23.385956,29.400002
BULDHANA,1998,Kharif,26.642021,172
BULDHANA,1998,Rabi,22.026236,4.95
BULDHANA,1998,Summer,32.987408,4.55
BULDHANA,1999,Autumn,23.041866,24.300001
BULDHANA,1999,Kharif,25.231438,174.5
BULDHANA,1999,Rabi,22.99145,6.875
BULDHANA,1999,Summer,31.936977,7.6000004
BULDHANA,2000,Autumn,25.539864,0.2
BULDHANA,2000,Kharif,25.65954,221.775
